ov_long;ov_short;Tallinn;Tartu;Sum;lat;lon
Moniste;Moniste;3;12;15;57.5536;26.6653
Haanja;Haanja;12;30;42;57.5833;27.0519
Taheva;Taheva;0;15;15;57.6294;26.4025
Misso;Misso;9;9;18;57.6431;27.3778
Varstu;Varstu;6;24;30;57.6431;26.6672
Rouge;Rouge;18;57;75;57.6625;26.8519
Vastseliina;Vastseliina;15;48;63;57.7211;27.2806
Meremae;Meremae;6;15;21;57.7336;27.4578
Karula;Karula;6;18;24;57.7486;26.3503
Antsla;Antsla;18;84;102;57.7486;26.6697
Valga linn;Valga_l;114;195;309;57.7928;26.0453
Ruhnu;Ruhnu;3;3;6;57.8061;23.2567
Voru linn;Voru_l;129;285;414;57.8275;27.0242
Varska;Varska;3;54;57;57.84;27.5906
Lasva;Lasva;12;33;45;57.8525;27.1764
Tolliste;Tolliste;9;33;42;57.8578;26.163
Orava;Orava;3;21;24;57.8581;27.3261
Somerpalu;Somerpalu;12;42;54;57.8774;26.8024
Hummuli;Hummuli;3;9;12;57.8864;26.042
Voru;Voru;48;111;159;57.8967;26.9951
Urvaste;Urvaste;6;18;24;57.9048;26.5898
Veriora;Veriora;6;42;48;57.9489;27.235
oru;oru;0;6;6;57.9628;26.1758
Torgu;Torgu;6;0;6;57.9778;22.0792
Laheda;Laheda;9;30;39;57.9836;27.0626
Kanepi;Kanepi;15;51;66;57.9858;26.7714
Sangaste;Sangaste;6;33;39;57.9983;26.3511
Mikitamae;Mikitamae;0;21;21;58.0053;27.5544
Otepaa;Otepaa;36;171;207;58.0289;26.3244
Helme;Helme;9;33;42;58.0342;25.846
Polva linn;Polva_l;54;189;243;58.0522;27.0533
Kolleste;Kolleste;3;21;24;58.0553;26.8817
Saarde;Saarde;54;33;87;58.07;24.7739
Haademeeste;Haademeeste;30;12;42;58.0806;24.5089
Puka;Puka;9;51;60;58.0914;26.1008
Valgjarve;Valgjarve;3;69;72;58.0969;26.6781
Karksi;Karksi;30;27;57;58.0981;25.5481
Rapina;Rapina;36;114;150;58.1144;27.4475
Palupera;Palupera;6;45;51;58.1153;26.4756
Kihnu;Kihnu;9;3;12;58.1206;23.9733
Abja;Abja;24;18;42;58.1261;25.3855
Rongu;Rongu;15;111;126;58.1378;26.2619
Tarvastu;Tarvastu;33;39;72;58.1381;25.7964
Vastse-Kuuste;Vastse-Kuuste;6;66;72;58.1578;26.9328
Mooste;Mooste;3;36;39;58.1667;27.2197
Salme;Salme;18;9;27;58.1808;22.2436
Surju;Surju;12;9;21;58.1928;24.7422
Elva linn;Elva_l;42;306;348;58.2194;26.4133
Ahja;Ahja;3;36;39;58.2233;27.0278
Kaarma;Kaarma;81;24;105;58.2236;22.3728
Meeksi;Meeksi;0;15;15;58.2336;27.4542
Kambja;Kambja;15;180;195;58.2375;26.7082
Konguta;Konguta;9;51;60;58.2411;26.4038
Halliste;Halliste;15;15;30;58.2417;25.3425
Rannu;Rannu;3;54;57;58.2433;26.2158
Tahkuranna;Tahkuranna;36;18;54;58.2483;24.5889
Lumanda;Lumanda;12;9;21;58.2668;22.028
Kuressaare linn;Kuressaare_l;255;108;363;58.2678;22.4925
Tostamaa;Tostamaa;12;12;24;58.2752;24.1991
Vonnu;Vonnu;12;54;66;58.2758;27.2056
Paistu;Paistu;12;18;30;58.2825;25.72
Noo;Noo;21;291;312;58.2957;26.5708
Parsti;Parsti;45;30;75;58.3104;25.5206
Kopu;Kopu;12;9;21;58.3208;25.3053
Haaslava;Haaslava;15;147;162;58.3209;26.8213
ulenurme;ulenurme;69;780;849;58.3275;26.6044
Karla;Karla;21;6;27;58.3355;22.2628
Puhja;Puhja;6;105;111;58.3417;26.3192
Pihtla;Pihtla;21;9;30;58.3508;22.7083
Luunja;Luunja;48;450;498;58.3561;26.8792
Kihelkonna;Kihelkonna;9;3;12;58.3569;22.0619
Viljandi linn;Viljandi_l;270;264;534;58.3681;25.5983
Tartu linn;Tartu_l;968;16947;17915;58.3758;26.7208
Paikuse;Paikuse;111;36;147;58.3764;24.6447
Piirissaare;Piirissaare;0;0;0;58.3803;27.5214
Parnu linn;Parnu_l;783;309;1092;58.385;24.5061
Tahtvere;Tahtvere;30;276;306;58.3989;26.5569
Viiratsi;Viiratsi;42;48;90;58.4019;25.7972
Laimjala;Laimjala;6;6;12;58.4033;23.0086
Kolga-Jaani;Kolga-Jaani;6;21;27;58.4092;25.978
Sindi linn;Sindi_l;66;24;90;58.4097;24.6644
Valjala;Valjala;21;0;21;58.4155;22.7942
Sauga;Sauga;108;33;141;58.4313;24.5086
Saarepeedi;Saarepeedi;12;9;21;58.4358;25.6758
Laeva;Laeva;3;48;51;58.4517;26.4277
Mustjala;Mustjala;6;3;9;58.4719;22.2258
Vara;Vara;6;105;111;58.4772;27.2401
Tartu;Tartu;75;603;678;58.4805;26.6747
